transaction_type,year,quarter,quarterly_amount,quarterly_count,avg_value,quarter_contribution_pct
TOTAL,2024,4,143995203538388.0,112877023356,1275.68,
TOTAL,2024,3,129387870521240.0,103284061536,1252.74,
TOTAL,2024,2,127281403703724.0,96104438580,1324.41,
TOTAL,2024,1,117833735558768.0,84948215996,1387.12,
TOTAL,2023,4,108188910066000.0,76061025828,1422.4,
TOTAL,2023,3,96048534301496.0,68166892756,1409.02,
TOTAL,2023,2,91673977166960.0,60438229644,1516.82,
TOTAL,2023,1,82055832062028.0,52362070520,1567.09,
TOTAL,2022,4,75659554071907.53,48124789784,1572.15,
TOTAL,2022,3,66430509699508.11,42181359840,1574.88,
TOTAL,2022,2,62016745954076.13,36526305472,1697.87,
TOTAL,2022,1,52958521918129.586,30372719840,1743.62,
TOTAL,2021,4,46485176696342.29,26502944088,1753.96,
TOTAL,2021,3,36866784351874.2,21054949080,1750.98,
TOTAL,2021,2,29905863866467.195,15765481860,1896.92,
TOTAL,2021,1,25136973833982.195,13830341852,1817.52,
TOTAL,2020,4,21583405583677.594,11477106488,1880.56,
TOTAL,2020,3,15608211985458.39,8132204732,1919.31,
TOTAL,2020,2,10584580431890.05,5794435560,1826.68,
TOTAL,2020,1,10788449911217.45,6492152184,1661.77,
