state,q1_users,q4_users,annual_user_growth_pct,growth_classification
Mizoram,804180,433620,-46.08,LOW_GROWTH_0_10
Meghalaya,1786832,961072,-46.21,LOW_GROWTH_0_10
Arunachal Pradesh,2346316,1259776,-46.31,LOW_GROWTH_0_10
Nagaland,1937164,1039960,-46.32,LOW_GROWTH_0_10
Assam,31404148,16838364,-46.38,LOW_GROWTH_0_10
Ladakh,649644,348228,-46.4,LOW_GROWTH_0_10
Andaman & Nicobar Islands,536184,287120,-46.45,LOW_GROWTH_0_10
Rajasthan,164239780,87908808,-46.48,LOW_GROWTH_0_10
Manipur,2898272,1550984,-46.49,LOW_GROWTH_0_10
Madhya Pradesh,137982296,73824972,-46.5,LOW_GROWTH_0_10
Jammu & Kashmir,10896552,5827240,-46.52,LOW_GROWTH_0_10
Dadra & Nagar Haveli & Daman & Diu,2983864,1595852,-46.52,LOW_GROWTH_0_10
Uttar Pradesh,273927068,146470620,-46.53,LOW_GROWTH_0_10
Tripura,4087040,2185168,-46.53,LOW_GROWTH_0_10
Himachal Pradesh,15065736,8054988,-46.53,LOW_GROWTH_0_10
Jharkhand,49353296,26384784,-46.54,LOW_GROWTH_0_10
Bihar,129723784,69343924,-46.54,LOW_GROWTH_0_10
Punjab,51486012,27520412,-46.55,LOW_GROWTH_0_10
Gujarat,135741760,72556804,-46.55,LOW_GROWTH_0_10
Uttarakhand,25907804,13840060,-46.58,LOW_GROWTH_0_10
Haryana,90779572,48465756,-46.61,LOW_GROWTH_0_10
Sikkim,1479316,789628,-46.62,LOW_GROWTH_0_10
Odisha,85431152,45596940,-46.63,LOW_GROWTH_0_10
Tamil Nadu,153198512,81732568,-46.65,LOW_GROWTH_0_10
Lakshadweep,42268,22552,-46.65,LOW_GROWTH_0_10
Chhattisgarh,41726048,22261924,-46.65,LOW_GROWTH_0_10
Maharashtra,341220668,181930024,-46.68,LOW_GROWTH_0_10
West Bengal,154914344,82578108,-46.69,LOW_GROWTH_0_10
Karnataka,221184724,117838584,-46.72,LOW_GROWTH_0_10
Puducherry,3177320,1692668,-46.73,LOW_GROWTH_0_10
Goa,5234652,2788712,-46.73,LOW_GROWTH_0_10
Kerala,63636968,33895240,-46.74,LOW_GROWTH_0_10
Delhi,96025628,51140508,-46.74,LOW_GROWTH_0_10
Chandigarh,3846188,2048368,-46.74,LOW_GROWTH_0_10
Andhra Pradesh,168886736,89956116,-46.74,LOW_GROWTH_0_10
Telangana,157198724,83670596,-46.77,LOW_GROWTH_0_10
