device,total_users,states_covered,national_share_pct,max_users_in_state,avg_users_per_state
Xiaomi,2547194656,36,24.83,11340940,1965428.0
Samsung,1959851344,36,19.1,9447206,1512231.0
Vivo,1956367812,36,19.07,9873983,1509543.0
Oppo,1290681424,36,12.58,7009300,995896.0
Others,780927576,36,7.61,3148503,602568.0
Realme,702653420,36,6.85,3918711,542171.0
Apple,271963008,35,2.65,1510802,234451.0
Motorola,191595000,34,1.87,832101,161820.0
OnePlus,173414868,32,1.69,1396866,176235.0
Huawei,165904328,36,1.62,541464,140597.0
Lenovo,100795840,30,0.98,447713,134037.0
Tecno,49554492,22,0.48,756173,163008.0
Micromax,22618484,11,0.22,315253,110875.0
Infinix,20253060,10,0.2,719048,180831.0
Asus,11847616,7,0.12,303793,58077.0
Gionee,6075948,8,0.06,189685,27618.0
Lava,5817564,4,0.06,304244,80800.0
HMD Global,1346528,7,0.01,105494,12947.0
