state,insurance_types_offered,total_policies,total_premium,market_maturity,avg_premium_value,estimated_revenue_opportunity_cr
Karnataka,1,1957404,2743154847.0,MATURE_MARKET,1401.42,0.0
Maharashtra,1,1815539,2363128536.0,MATURE_MARKET,1301.61,0.0
Uttar Pradesh,1,1139153,1740346495.0,MATURE_MARKET,1527.75,0.0
Tamil Nadu,1,1215269,1555507253.0,MATURE_MARKET,1279.97,0.0
Kerala,1,824235,1313718507.0,MATURE_MARKET,1593.86,0.0
Telangana,1,894342,1171059515.0,MATURE_MARKET,1309.41,0.0
West Bengal,1,839715,1052463239.0,MATURE_MARKET,1253.36,0.0
Rajasthan,1,639684,959653860.0,MATURE_MARKET,1500.2,0.0
Haryana,1,573738,830981227.0,MATURE_MARKET,1448.36,0.0
Delhi,1,652514,815365172.0,MATURE_MARKET,1249.57,0.0
Andhra Pradesh,1,697769,812222985.0,MATURE_MARKET,1164.03,0.0
Gujarat,1,562595,729233441.0,MATURE_MARKET,1296.2,0.0
Madhya Pradesh,1,487180,711153467.0,MATURE_MARKET,1459.73,0.0
Bihar,1,536592,671056815.0,MATURE_MARKET,1250.59,0.0
Odisha,1,318769,416559238.0,MATURE_MARKET,1306.77,0.0
Assam,1,262818,411831038.0,MATURE_MARKET,1566.98,0.0
Jharkhand,1,260827,348671355.0,MATURE_MARKET,1336.79,0.0
Punjab,1,180011,313085772.0,MATURE_MARKET,1739.26,0.0
Chhattisgarh,1,189517,274344886.0,MATURE_MARKET,1447.6,0.0
Uttarakhand,1,124374,200706613.0,MATURE_MARKET,1613.73,0.0
Jammu & Kashmir,1,78375,153923112.0,DEVELOPING_MARKET,1963.93,0.0
Himachal Pradesh,1,61790,117289072.0,DEVELOPING_MARKET,1898.19,0.0
Goa,1,59872,83730005.0,DEVELOPING_MARKET,1398.48,0.0
Puducherry,1,27940,37120853.0,DEVELOPING_MARKET,1328.59,0.0
Tripura,1,25192,33742456.0,DEVELOPING_MARKET,1339.41,0.0
Chandigarh,1,22079,33285885.0,DEVELOPING_MARKET,1507.58,0.0
Arunachal Pradesh,1,10214,23420755.0,DEVELOPING_MARKET,2293.01,0.0
Meghalaya,1,10461,20357362.0,DEVELOPING_MARKET,1946.02,0.0
Andaman & Nicobar Islands,1,12997,19386792.0,DEVELOPING_MARKET,1491.64,0.0
Dadra & Nagar Haveli & Daman & Diu,1,13792,17992414.0,DEVELOPING_MARKET,1304.55,0.0
Sikkim,1,4896,10883384.0,EMERGING_MARKET,2222.91,21.0
Nagaland,1,4745,9156617.0,EMERGING_MARKET,1929.74,18.0
Ladakh,1,3338,7808333.0,EMERGING_MARKET,2339.22,23.0
Manipur,1,3731,7150454.0,EMERGING_MARKET,1916.5,18.0
Mizoram,1,3724,5462592.0,EMERGING_MARKET,1466.86,14.0
Lakshadweep,1,496,624037.0,ENTRY_LEVEL,1258.14,126.0
