state,total_policies,total_premium,product_categories,avg_premium_per_policy,national_premium_share_pct,penetration_level,revenue_per_category
Karnataka,1957404,2743154847.0,1,1218.91,13.71,HIGHLY_PENETRATED,2743154847.0
Maharashtra,1815539,2363128536.0,1,1157.39,11.81,HIGHLY_PENETRATED,2363128536.0
Uttar Pradesh,1139153,1740346495.0,1,1302.04,8.69,HIGHLY_PENETRATED,1740346495.0
Tamil Nadu,1215269,1555507253.0,1,1111.94,7.77,HIGHLY_PENETRATED,1555507253.0
Kerala,824235,1313718507.0,1,1356.01,6.56,HIGHLY_PENETRATED,1313718507.0
Telangana,894342,1171059515.0,1,1155.75,5.85,HIGHLY_PENETRATED,1171059515.0
West Bengal,839715,1052463239.0,1,1082.26,5.26,HIGHLY_PENETRATED,1052463239.0
Rajasthan,639684,959653860.0,1,1250.69,4.79,HIGHLY_PENETRATED,959653860.0
Haryana,573738,830981227.0,1,1225.39,4.15,HIGHLY_PENETRATED,830981227.0
Delhi,652514,815365172.0,1,1087.65,4.07,HIGHLY_PENETRATED,815365172.0
Andhra Pradesh,697769,812222985.0,1,1111.04,4.06,HIGHLY_PENETRATED,812222985.0
Gujarat,562595,729233441.0,1,1114.22,3.64,HIGHLY_PENETRATED,729233441.0
Madhya Pradesh,487180,711153467.0,1,1212.89,3.55,HIGHLY_PENETRATED,711153467.0
Bihar,536592,671056815.0,1,1106.74,3.35,HIGHLY_PENETRATED,671056815.0
Odisha,318769,416559238.0,1,1134.08,2.08,HIGHLY_PENETRATED,416559238.0
Assam,262818,411831038.0,1,1337.09,2.06,HIGHLY_PENETRATED,411831038.0
Jharkhand,260827,348671355.0,1,1167.23,1.74,HIGHLY_PENETRATED,348671355.0
Punjab,180011,313085772.0,1,1464.81,1.56,HIGHLY_PENETRATED,313085772.0
Chhattisgarh,189517,274344886.0,1,1224.46,1.37,HIGHLY_PENETRATED,274344886.0
Uttarakhand,124374,200706613.0,1,1403.24,1.0,HIGHLY_PENETRATED,200706613.0
Jammu & Kashmir,78375,153923112.0,1,1685.51,0.77,HIGHLY_PENETRATED,153923112.0
Himachal Pradesh,61790,117289072.0,1,1600.74,0.59,HIGHLY_PENETRATED,117289072.0
Goa,59872,83730005.0,1,1227.4,0.42,HIGHLY_PENETRATED,83730005.0
Puducherry,27940,37120853.0,1,1151.12,0.19,MODERATELY_PENETRATED,37120853.0
Tripura,25192,33742456.0,1,1172.86,0.17,MODERATELY_PENETRATED,33742456.0
Chandigarh,22079,33285885.0,1,1252.29,0.17,MODERATELY_PENETRATED,33285885.0
Arunachal Pradesh,10214,23420755.0,1,1923.16,0.12,MODERATELY_PENETRATED,23420755.0
Meghalaya,10461,20357362.0,1,1642.41,0.1,MODERATELY_PENETRATED,20357362.0
Andaman & Nicobar Islands,12997,19386792.0,1,1329.05,0.1,MODERATELY_PENETRATED,19386792.0
Dadra & Nagar Haveli & Daman & Diu,13792,17992414.0,1,1158.16,0.09,MODERATELY_PENETRATED,17992414.0
Sikkim,4896,10883384.0,1,1914.89,0.05,LOW_PENETRATION,10883384.0
Nagaland,4745,9156617.0,1,1662.65,0.05,LOW_PENETRATION,9156617.0
Ladakh,3338,7808333.0,1,2057.63,0.04,LOW_PENETRATION,7808333.0
Manipur,3731,7150454.0,1,1745.41,0.04,LOW_PENETRATION,7150454.0
Mizoram,3724,5462592.0,1,1408.99,0.03,LOW_PENETRATION,5462592.0
Lakshadweep,496,624037.0,1,1281.85,0.0,MINIMAL_PENETRATION,624037.0
