state,total_users,active_device_types,engagement_segment,user_base_tier,engagement_health_status,state_ranking
Maharashtra,192910520,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,1
Uttar Pradesh,155998768,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,2
Karnataka,124801396,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,3
Andhra Pradesh,95431804,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,4
Rajasthan,93595428,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,5
Telangana,88602448,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,6
West Bengal,87679148,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,7
Tamil Nadu,86668080,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,8
Madhya Pradesh,78624588,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,9
Gujarat,77061256,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,10
Bihar,73938632,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,11
Delhi,54156788,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,12
Haryana,51467952,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,13
Odisha,48499116,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,14
Kerala,35889196,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,15
Punjab,29210904,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,16
Jharkhand,28101100,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,17
Chhattisgarh,23667844,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,18
Assam,17970356,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,19
Uttarakhand,14699316,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,20
Himachal Pradesh,8573932,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,21
Jammu & Kashmir,6197280,11,SEGMENT_A_SUPER_ENGAGED (>5M),LARGE_USER_BASE,HEALTHY_ENGAGEMENT,22
Goa,2954512,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,23
Tripura,2328496,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,24
Chandigarh,2166196,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,25
Puducherry,1792204,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,26
Dadra & Nagar Haveli & Daman & Diu,1698280,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,27
Manipur,1647600,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,28
Arunachal Pradesh,1341356,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,29
Nagaland,1105932,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,30
Meghalaya,1023356,11,SEGMENT_B_HIGHLY_ENGAGED (1-5M),MEDIUM_USER_BASE,HEALTHY_ENGAGEMENT,31
Sikkim,838464,11,SEGMENT_C_MODERATELY_ENGAGED (100K-1M),SMALL_USER_BASE,CHURN_PREVENTION_NEEDED,32
Mizoram,461180,11,SEGMENT_C_MODERATELY_ENGAGED (100K-1M),SMALL_USER_BASE,CHURN_PREVENTION_NEEDED,33
Ladakh,369968,11,SEGMENT_C_MODERATELY_ENGAGED (100K-1M),SMALL_USER_BASE,CHURN_PREVENTION_NEEDED,34
Andaman & Nicobar Islands,305152,11,SEGMENT_C_MODERATELY_ENGAGED (100K-1M),SMALL_USER_BASE,CHURN_PREVENTION_NEEDED,35
Lakshadweep,23960,11,SEGMENT_D_LOW_ENGAGED (10K-100K),SMALL_USER_BASE,AT_RISK_CHURN,36
